noise_level,lambda,image,psnr,ssim
0.1,0.06999999999999999,00007911.jpg,28.493533538360197,0.736049
0.1,0.06999999999999999,00007995.jpg,24.27014931349971,0.68076277
0.1,0.06999999999999999,00008036.jpg,27.452991055097318,0.75506324
0.1,0.06999999999999999,00008103.jpg,29.224083763696555,0.75764257
0.1,0.06999999999999999,00008115.jpg,28.094780352505765,0.7243741
0.1,0.06999999999999999,00008209.jpg,31.468712847351107,0.81218576
0.1,0.06999999999999999,00008215.jpg,28.028074702266128,0.7584097
0.1,0.06999999999999999,00008400.jpg,28.113172100229328,0.67556524
0.1,0.06999999999999999,00008553.jpg,27.812851870330043,0.6414965
0.1,0.06999999999999999,00008710.jpg,26.235007640745774,0.6326819
0.1,0.06999999999999999,00008747.jpg,27.74002287276283,0.7299468
0.1,0.06999999999999999,00008858.jpg,28.978323949101995,0.7515354
0.1,0.06999999999999999,00008919.jpg,26.188461285176466,0.65456647
0.1,0.06999999999999999,00008937.jpg,27.291021505713967,0.71943563
0.1,0.06999999999999999,00009231.jpg,26.31333307816288,0.7130451
0.1,0.06999999999999999,00009252.jpg,26.230489505013132,0.7156859
